NR_ANO_STATUS;CD_UG;NR_MES;DS_UNIDADE_GESTORA;CD_GESTAO;DS_GESTAO;CD_CONTA_CONTABIL;DS_CONTA_CONTABIL;CD_CONTA_CORRENTE;NR_ESFERA;DS_ESFERA;CD_UNIDADE_ORCAMENTARIA;CD_FUNCAO;CD_SUB_FUNCAO;CD_PROGRAMA;CD_PROJETO;CD_SUBTITULO;CD_FONTE_RECURSO;DS_FONTE_RECURSO;CD_NATUREZA;CD_CATEGORIA;VL_CREDITO;VL_DEBITO
2025;150101;7;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";04;0;"Para evento complementar                          ";0;0;0;0;0;0;100000000;"ORDINÁRIO NÃO VINCULADO                  FTFE 500 ";0;0;1196.00;0.00
2025;150101;11;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";04;0;"Para evento complementar                          ";0;0;0;0;0;0;0;"CONV. ORGAOS NAO PER. AO GDF                      ";0;0;0.00;1196.00
2025;150101;8;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";06;0;"Para evento complementar                          ";0;0;0;0;0;0;100000000;"ORDINÁRIO NÃO VINCULADO                  FTFE 500 ";0;0;17078.81;0.00
2025;150101;9;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";06;0;"Para evento complementar                          ";0;0;0;0;0;0;100000000;"ORDINÁRIO NÃO VINCULADO                  FTFE 500 ";0;0;17078.81;17078.81
2025;150101;11;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";06;0;"Para evento complementar                          ";0;0;0;0;0;0;0;"CONV. ORGAOS NAO PER. AO GDF                      ";0;0;0.00;17078.81
2025;150101;7;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";33;0;"Para evento complementar                          ";0;0;0;0;0;0;100000000;"ORDINÁRIO NÃO VINCULADO                  FTFE 500 ";0;0;5288.90;0.00
2025;150101;8;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";33;0;"Para evento complementar                          ";0;0;0;0;0;0;100000000;"ORDINÁRIO NÃO VINCULADO                  FTFE 500 ";0;0;8355.21;0.00
2025;150101;9;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";33;0;"Para evento complementar                          ";0;0;0;0;0;0;100000000;"ORDINÁRIO NÃO VINCULADO                  FTFE 500 ";0;0;8355.21;8355.21
2025;150101;11;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";33;0;"Para evento complementar                          ";0;0;0;0;0;0;0;"CONV. ORGAOS NAO PER. AO GDF                      ";0;0;0.00;13644.11
2025;150101;7;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";35;0;"Para evento complementar                          ";0;0;0;0;0;0;100000000;"ORDINÁRIO NÃO VINCULADO                  FTFE 500 ";0;0;77049.74;0.02
2025;150101;8;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";35;0;"Para evento complementar                          ";0;0;0;0;0;0;100000000;"ORDINÁRIO NÃO VINCULADO                  FTFE 500 ";0;0;37212.11;368.00
2025;150101;9;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";35;0;"Para evento complementar                          ";0;0;0;0;0;0;100000000;"ORDINÁRIO NÃO VINCULADO                  FTFE 500 ";0;0;37212.11;37212.11
2025;150101;10;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";35;0;"Para evento complementar                          ";0;0;0;0;0;0;100000000;"ORDINÁRIO NÃO VINCULADO                  FTFE 500 ";0;0;19693.49;0.00
2025;150101;11;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";35;0;"Para evento complementar                          ";0;0;0;0;0;0;0;"CONV. ORGAOS NAO PER. AO GDF                      ";0;0;0.00;133587.32
2025;150101;8;"SECRETARIA DE ESTADO DO MEIO AMBIENTE             ";1;"TESOURO                                           ";451211301;"DOAÇÃO RECEBIDA - BENS MÓVEIS                                         ";42;0;"Para evento complementar                          ";0;0;0;0;0;0;100000000;"ORDINÁRIO NÃO VINCULADO                  FTFE 500 ";0;0;460.91;0.00
